class,id,weight1,weight2,weight3,weight,length,width,area
A,1,0.47,0.45,0.49,0.47,66,29,1503.252085
A,2,0.47,0.45,0.45,0.456666667,59,32,1482.831732
A,3,0.31,0.29,0.3,0.3,63,25,1237.002107
A,4,0.24,0.24,0.23,0.236666667,53,23,957.4003612
A,5,0.37,0.38,0.36,0.37,58,33,1503.252085
B,1,0.93,0.9,0.88,0.903333333,126,56,5541.769441
B,2,0.76,0.79,0.79,0.78,115,48,4335.397862
B,3,0.56,0.57,0.57,0.566666667,92,40,2890.265241
B,4,0.48,0.48,0.47,0.476666667,92,40,2890.265241
B,5,0.48,0.49,0.48,0.483333333,85,39,2603.594912
C,1,0.9,0.88,0.89,0.89,111,46,4010.243022
C,2,1.38,1.38,1.38,1.38,129,58,5876.349059
C,3,0.89,0.89,0.89,0.89,110,48,4146.902303
C,4,0.87,0.89,0.87,0.876666667,112,45,3958.406744
C,5,1.16,1.13,1.15,1.146666667,112,58,5101.946469
D,1,0.96,0.95,0.96,0.956666667,103,45,3640.320487
D,2,0.94,0.95,0.94,0.943333333,101,40,3173.00858
D,3,0.84,0.85,0.84,0.843333333,93,46,3359.933343
D,4,1.08,1.06,1.06,1.066666667,109,43,3681.161192
D,5,1,0.98,0.97,0.983333333,104,45,3675.663405
E,1,0.83,0.83,0.83,0.83,105,51,4205.807165
E,2,0.31,0.34,0.3,0.316666667,80,37,2324.778564
E,3,0.69,0.7,0.71,0.7,108,48,4071.504079
E,4,0.39,0.39,0.4,0.393333333,81,37,2353.838296
E,5,0.67,0.69,0.68,0.68,105,56,4618.141201
